valve_no,taxon,no_of_species,no_of_p,no_of_fp,no_of_b,p_pc,fp_pc,b_pc,efficiency,no_of_p_oc,no_of_p_brev,no_of_s_con,no_of_s_pin,no_of_a_ped,no_of_s_rot,p_oc_pc,p_brev_pc,s_con_pc,s_pin_pc,a_ped_pc,s_rot_pc
32,Cyclotella ocellata,11,13,10,9,40.625,31.25,28.125,0.65625,12,6,4,0,0,2,37.5,18.75,12.5,0,0,6.25
33,Cyclotella ocellata,11,14,10,9,42.42424242424242,30.303030303030305,27.27272727272727,0.6666666666666667,13,6,4,0,0,2,39.39393939393939,18.181818181818183,12.121212121212121,0,0,6.0606060606060606
34,Cyclotella ocellata,11,15,10,9,44.11764705882353,29.411764705882355,26.47058823529412,0.6764705882352942,14,6,4,0,0,2,41.17647058823529,17.647058823529413,11.76470588235294,0,0,5.88235294117647
35,Staurosira venter,11,15,11,9,42.857142857142854,31.428571428571427,25.71428571428571,0.6857142857142857,14,6,5,0,0,2,40,17.142857142857142,14.285714285714285,0,0,5.714285714285714
36,Staurosira venter,11,15,12,9,41.66666666666667,33.33333333333333,25,0.6944444444444444,14,6,6,0,0,2,38.88888888888889,16.666666666666664,16.666666666666664,0,0,5.555555555555555
37,Cyclotella ocellata,11,16,12,9,43.24324324324324,32.432432432432435,24.324324324324326,0.7027027027027026,15,6,6,0,0,2,40.54054054054054,16.216216216216218,16.216216216216218,0,0,5.405405405405405
38,Karayevia clevei,11,16,12,10,42.10526315789473,31.57894736842105,26.31578947368421,0.7105263157894737,15,6,6,0,0,2,39.473684210526315,15.789473684210526,15.789473684210526,0,0,5.263157894736842
39,Naviculoid spp.,11,16,12,11,41.02564102564102,30.76923076923077,28.205128205128204,0.717948717948718,15,6,6,0,0,2,38.46153846153847,15.384615384615385,15.384615384615385,0,0,5.128205128205128
40,Naviculoid spp.,11,16,12,12,40,30,30,0.725,15,6,6,0,0,2,37.5,15,15,0,0,5
41,Cyclotella ocellata,11,17,12,12,41.46341463414634,29.268292682926827,29.268292682926827,0.7317073170731707,16,6,6,0,0,2,39.02439024390244,14.634146341463413,14.634146341463413,0,0,4.878048780487805
42,Cyclotella ocellata,11,18,12,12,42.857142857142854,28.57142857142857,28.57142857142857,0.7380952380952381,17,6,6,0,0,2,40.476190476190474,14.285714285714285,14.285714285714285,0,0,4.761904761904762
43,Cyclotella ocellata,11,19,12,12,44.18604651162791,27.906976744186046,27.906976744186046,0.7441860465116279,18,6,6,0,0,2,41.86046511627907,13.953488372093023,13.953488372093023,0,0,4.651162790697675
44,Staurosirella pinnata,12,19,13,12,43.18181818181818,29.545454545454547,27.27272727272727,0.7272727272727273,18,6,6,1,0,2,40.909090909090914,13.636363636363635,13.636363636363635,2.272727272727273,0,4.545454545454546
45,Staurosirella pinnata,12,19,14,12,42.22222222222222,31.11111111111111,26.666666666666668,0.7333333333333334,18,6,6,2,0,2,40,13.333333333333334,13.333333333333334,4.444444444444445,0,4.444444444444445
46,Staurosirella pinnata,12,19,15,12,41.30434782608695,32.608695652173914,26.08695652173913,0.7391304347826086,18,6,6,3,0,2,39.130434782608695,13.043478260869565,13.043478260869565,6.521739130434782,0,4.3478260869565215
47,Staurosirella pinnata,12,19,16,12,40.42553191489361,34.04255319148936,25.53191489361702,0.7446808510638299,18,6,6,4,0,2,38.297872340425535,12.76595744680851,12.76595744680851,8.51063829787234,0,4.25531914893617
48,Naviculoid spp.,12,19,16,13,39.58333333333333,33.33333333333333,27.083333333333332,0.75,18,6,6,4,0,2,37.5,12.5,12.5,8.333333333333332,0,4.166666666666666
49,Pseudostaurosira brevistriata,12,19,17,13,38.775510204081634,34.69387755102041,26.53061224489796,0.7551020408163265,18,7,6,4,0,2,36.734693877551024,14.285714285714285,12.244897959183673,8.16326530612245,0,4.081632653061225
50,Sellaphora rotunda,12,19,17,14,38,34,28.000000000000004,0.76,18,7,6,4,0,3,36,14.000000000000002,12,8,0,6
51,Pseudostaurosira brevistriata,12,19,18,14,37.254901960784316,35.294117647058826,27.450980392156865,0.7647058823529411,18,8,6,4,0,3,35.294117647058826,15.686274509803921,11.76470588235294,7.8431372549019605,0,5.88235294117647
52,Pseudostaurosira brevistriata,12,19,19,14,36.53846153846153,36.53846153846153,26.923076923076923,0.7692307692307692,18,9,6,4,0,3,34.61538461538461,17.307692307692307,11.538461538461538,7.6923076923076925,0,5.769230769230769
53,Sellaphora rotunda,12,19,19,15,35.84905660377358,35.84905660377358,28.30188679245283,0.7735849056603774,18,9,6,4,0,4,33.9622641509434,16.9811320754717,11.320754716981133,7.547169811320755,0,7.547169811320755
54,Staurosira venter,12,19,20,15,35.18518518518518,37.03703703703704,27.77777777777778,0.7777777777777778,18,9,7,4,0,4,33.33333333333333,16.666666666666664,12.962962962962962,7.4074074074074066,0,7.4074074074074066
55,Cyclotella ocellata,12,20,20,15,36.36363636363637,36.36363636363637,27.27272727272727,0.7818181818181819,19,9,7,4,0,4,34.54545454545455,16.363636363636363,12.727272727272727,7.2727272727272725,0,7.2727272727272725
56,Fallacia helensis,13,20,20,16,35.714285714285715,35.714285714285715,28.57142857142857,0.7678571428571428,19,9,7,4,0,4,33.92857142857143,16.071428571428573,12.5,7.142857142857142,0,7.142857142857142
57,Amphora copulata,13,20,20,17,35.08771929824561,35.08771929824561,29.82456140350877,0.7719298245614035,19,9,7,4,0,4,33.33333333333333,15.789473684210526,12.280701754385964,7.017543859649122,0,7.017543859649122
58,Staurosirella pinnata,13,20,21,17,34.48275862068966,36.206896551724135,29.310344827586203,0.7758620689655172,19,9,7,5,0,4,32.758620689655174,15.517241379310345,12.068965517241379,8.620689655172415,0,6.896551724137931
59,Cyclotella minuscula,13,21,21,17,35.59322033898305,35.59322033898305,28.8135593220339,0.7796610169491526,19,9,7,5,0,4,32.20338983050847,15.254237288135593,11.864406779661017,8.47457627118644,0,6.779661016949152
60,Placoneis balcanica,14,21,21,18,35,35,30,0.7666666666666666,19,9,7,5,0,4,31.666666666666664,15,11.666666666666666,8.333333333333332,0,6.666666666666667
61,Cyclotella ocellata,14,22,21,18,36.0655737704918,34.42622950819672,29.508196721311474,0.7704918032786885,20,9,7,5,0,4,32.78688524590164,14.754098360655737,11.475409836065573,8.19672131147541,0,6.557377049180328
62,Cyclotella ocellata,14,23,21,18,37.096774193548384,33.87096774193548,29.03225806451613,0.7741935483870968,21,9,7,5,0,4,33.87096774193548,14.516129032258066,11.29032258064516,8.064516129032258,0,6.451612903225806
63,Pseudostaurosira brevistriata,14,23,22,18,36.507936507936506,34.92063492063492,28.57142857142857,0.7777777777777778,21,10,7,5,0,4,33.33333333333333,15.873015873015872,11.11111111111111,7.936507936507936,0,6.349206349206349
64,Fallacia luncinensis,15,23,22,19,35.9375,34.375,29.6875,0.765625,21,10,7,5,0,4,32.8125,15.625,10.9375,7.8125,0,6.25
65,Fallacia luncinensis,15,23,22,20,35.38461538461539,33.84615384615385,30.76923076923077,0.7692307692307692,21,10,7,5,0,4,32.30769230769231,15.384615384615385,10.76923076923077,7.6923076923076925,0,6.153846153846154
66,Staurosira venter,15,23,23,20,34.84848484848485,34.84848484848485,30.303030303030305,0.7727272727272727,21,10,8,5,0,4,31.818181818181817,15.151515151515152,12.121212121212121,7.575757575757576,0,6.0606060606060606
67,Staurosira venter,15,23,24,20,34.32835820895522,35.82089552238806,29.850746268656714,0.7761194029850746,21,10,9,5,0,4,31.343283582089555,14.925373134328357,13.432835820895523,7.462686567164178,0,5.970149253731343
68,Staurosira venter,15,23,25,20,33.82352941176471,36.76470588235294,29.411764705882355,0.7794117647058824,21,10,10,5,0,4,30.88235294117647,14.705882352941178,14.705882352941178,7.352941176470589,0,5.88235294117647
69,Staurosirella leptostauron var. martyi,16,23,26,20,33.33333333333333,37.68115942028986,28.985507246376812,0.7681159420289855,21,10,10,5,0,4,30.434782608695656,14.492753623188406,14.492753623188406,7.246376811594203,0,5.797101449275362
70,Amphora pediculus,17,23,26,21,32.857142857142854,37.142857142857146,30,0.7571428571428571,21,10,10,5,1,4,30,14.285714285714285,14.285714285714285,7.142857142857142,1.4285714285714286,5.714285714285714
71,Amphora pediculus,17,23,26,22,32.3943661971831,36.61971830985916,30.985915492957744,0.7605633802816901,21,10,10,5,2,4,29.577464788732392,14.084507042253522,14.084507042253522,7.042253521126761,2.8169014084507045,5.633802816901409
72,Karayevia clevei,17,23,26,23,31.944444444444443,36.11111111111111,31.944444444444443,0.7638888888888888,21,10,10,5,2,4,29.166666666666668,13.88888888888889,13.88888888888889,6.944444444444445,2.7777777777777777,5.555555555555555
73,Staurosira venter,17,23,27,23,31.506849315068493,36.986301369863014,31.506849315068493,0.7671232876712328,21,10,11,5,2,4,28.767123287671232,13.698630136986301,15.068493150684931,6.8493150684931505,2.73972602739726,5.47945205479452
74,Cyclotella ocellata,17,24,27,23,32.432432432432435,36.486486486486484,31.08108108108108,0.7702702702702703,22,10,11,5,2,4,29.72972972972973,13.513513513513514,14.864864864864865,6.756756756756757,2.7027027027027026,5.405405405405405
75,Cyclotella ocellata,17,25,27,23,33.33333333333333,36,30.666666666666664,0.7733333333333333,23,10,11,5,2,4,30.666666666666664,13.333333333333334,14.666666666666666,6.666666666666667,2.666666666666667,5.333333333333334
76,Cyclotella ocellata,17,26,27,23,34.21052631578947,35.526315789473685,30.263157894736842,0.7763157894736842,24,10,11,5,2,4,31.57894736842105,13.157894736842104,14.473684210526317,6.578947368421052,2.631578947368421,5.263157894736842
77,Cyclotella ocellata,17,27,27,23,35.064935064935064,35.064935064935064,29.87012987012987,0.7792207792207793,25,10,11,5,2,4,32.467532467532465,12.987012987012985,14.285714285714285,6.493506493506493,2.5974025974025974,5.194805194805195
78,Cyclotella ocellata,17,28,27,23,35.8974358974359,34.61538461538461,29.48717948717949,0.782051282051282,26,10,11,5,2,4,33.33333333333333,12.82051282051282,14.102564102564102,6.41025641025641,2.564102564102564,5.128205128205128
79,Surirella helvetica,18,28,27,24,35.44303797468354,34.177215189873415,30.37974683544304,0.7721518987341772,26,10,11,5,2,4,32.91139240506329,12.658227848101266,13.924050632911392,6.329113924050633,2.5316455696202533,5.063291139240507
80,Staurosirella pinnata,18,28,28,24,35,35,30,0.775,26,10,11,6,2,4,32.5,12.5,13.750000000000002,7.5,2.5,5
81,Cyclotella ocellata,18,29,28,24,35.80246913580247,34.5679012345679,29.629629629629626,0.7777777777777778,27,10,11,6,2,4,33.33333333333333,12.345679012345679,13.580246913580247,7.4074074074074066,2.4691358024691357,4.938271604938271
82,Cyclotella ocellata,18,30,28,24,36.58536585365854,34.146341463414636,29.268292682926827,0.7804878048780488,28,10,11,6,2,4,34.146341463414636,12.195121951219512,13.414634146341465,7.317073170731707,2.4390243902439024,4.878048780487805
83,Cyclotella ocellata,18,31,28,24,37.34939759036144,33.734939759036145,28.915662650602407,0.7831325301204819,29,10,11,6,2,4,34.93975903614458,12.048192771084338,13.253012048192772,7.228915662650602,2.4096385542168677,4.819277108433735
84,Asterionella formosa,19,32,28,24,38.095238095238095,33.33333333333333,28.57142857142857,0.7738095238095238,29,10,11,6,2,4,34.523809523809526,11.904761904761903,13.095238095238097,7.142857142857142,2.380952380952381,4.761904761904762
85,Naviculoid spp.,19,32,28,25,37.64705882352941,32.94117647058823,29.411764705882355,0.7764705882352941,29,10,11,6,2,4,34.11764705882353,11.76470588235294,12.941176470588237,7.0588235294117645,2.3529411764705883,4.705882352941177
86,Navicula hasta,20,32,28,26,37.2093023255814,32.55813953488372,30.23255813953488,0.7674418604651163,29,10,11,6,2,4,33.72093023255814,11.627906976744185,12.790697674418606,6.976744186046512,2.3255813953488373,4.651162790697675
87,Staurosirella pinnata,20,32,29,26,36.7816091954023,33.33333333333333,29.88505747126437,0.7701149425287357,29,10,11,7,2,4,33.33333333333333,11.494252873563218,12.643678160919542,8.045977011494253,2.2988505747126435,4.597701149425287
88,Staurosirella pinnata,20,32,30,26,36.36363636363637,34.090909090909086,29.545454545454547,0.7727272727272727,29,10,11,8,2,4,32.95454545454545,11.363636363636363,12.5,9.090909090909092,2.272727272727273,4.545454545454546
89,Staurosira venter,20,32,31,26,35.95505617977528,34.831460674157306,29.213483146067414,0.7752808988764045,29,10,12,8,2,4,32.58426966292135,11.235955056179774,13.48314606741573,8.98876404494382,2.247191011235955,4.49438202247191
90,Cyclotella ocellata,20,33,31,26,36.666666666666664,34.44444444444444,28.888888888888886,0.7777777777777778,30,10,12,8,2,4,33.33333333333333,11.11111111111111,13.333333333333334,8.88888888888889,2.2222222222222223,4.444444444444445
91,Naviculoid spp.,20,33,31,27,36.26373626373626,34.065934065934066,29.67032967032967,0.7802197802197802,30,10,12,8,2,4,32.967032967032964,10.989010989010989,13.186813186813188,8.791208791208792,2.197802197802198,4.395604395604396
92,Naviculoid spp.,20,33,31,28,35.869565217391305,33.69565217391305,30.434782608695656,0.782608695652174,30,10,12,8,2,4,32.608695652173914,10.869565217391305,13.043478260869565,8.695652173913043,2.1739130434782608,4.3478260869565215
93,Staurosira venter,20,33,32,28,35.483870967741936,34.40860215053764,30.107526881720432,0.7849462365591398,30,10,13,8,2,4,32.25806451612903,10.75268817204301,13.978494623655912,8.60215053763441,2.1505376344086025,4.301075268817205
94,Pseudostaurosira brevistriata,20,33,33,28,35.1063829787234,35.1063829787234,29.78723404255319,0.7872340425531915,30,11,13,8,2,4,31.914893617021278,11.702127659574469,13.829787234042554,8.51063829787234,2.127659574468085,4.25531914893617
95,Pseudostaurosira brevistriata,20,33,34,28,34.73684210526316,35.78947368421053,29.47368421052631,0.7894736842105263,30,12,13,8,2,4,31.57894736842105,12.631578947368421,13.684210526315791,8.421052631578947,2.1052631578947367,4.2105263157894735
96,Pseudostaurosira brevistriata,20,33,35,28,34.375,36.45833333333333,29.166666666666668,0.7916666666666666,30,13,13,8,2,4,31.25,13.541666666666666,13.541666666666666,8.333333333333332,2.083333333333333,4.166666666666666
97,Pseudostaurosira brevistriata,20,33,36,28,34.02061855670103,37.11340206185567,28.865979381443296,0.7938144329896908,30,14,13,8,2,4,30.927835051546392,14.432989690721648,13.402061855670103,8.24742268041237,2.0618556701030926,4.123711340206185
98,Cocconeis pseudothumensis,21,33,36,29,33.6734693877551,36.734693877551024,29.591836734693878,0.7857142857142857,30,14,13,8,2,4,30.612244897959183,14.285714285714285,13.26530612244898,8.16326530612245,2.0408163265306123,4.081632653061225
99,Placoneis balcanica,21,33,36,30,33.33333333333333,36.36363636363637,30.303030303030305,0.7878787878787878,30,14,13,8,2,4,30.303030303030305,14.14141414141414,13.131313131313133,8.080808080808081,2.0202020202020203,4.040404040404041
100,Placoneis balcanica,21,33,36,31,33,36,31,0.79,30,14,13,8,2,4,30,14.000000000000002,13,8,2,4
101,Staurosirella pinnata,21,33,37,31,32.67326732673268,36.633663366336634,30.693069306930692,0.7920792079207921,30,14,13,9,2,4,29.7029702970297,13.861386138613863,12.871287128712872,8.91089108910891,1.9801980198019802,3.9603960396039604
102,Staurosirella pinnata,21,33,38,31,32.35294117647059,37.254901960784316,30.392156862745097,0.7941176470588236,30,14,13,10,2,4,29.411764705882355,13.725490196078432,12.745098039215685,9.803921568627452,1.9607843137254901,3.9215686274509802
103,Placoneis balcanica,21,33,38,32,32.038834951456316,36.89320388349515,31.06796116504854,0.7961165048543689,30,14,13,10,2,4,29.126213592233007,13.592233009708737,12.62135922330097,9.70873786407767,1.9417475728155338,3.8834951456310676
104,Pseudostaurosira brevistriata,21,33,39,32,31.73076923076923,37.5,30.76923076923077,0.7980769230769231,30,15,13,10,2,4,28.846153846153843,14.423076923076922,12.5,9.615384615384617,1.9230769230769231,3.8461538461538463
105,Cyclotella ocellata,21,34,39,32,32.38095238095238,37.142857142857146,30.476190476190478,0.8,31,15,13,10,2,4,29.523809523809526,14.285714285714285,12.380952380952381,9.523809523809524,1.9047619047619049,3.8095238095238098
106,Cyclotella ocellata,21,35,39,32,33.0188679245283,36.79245283018868,30.18867924528302,0.8018867924528301,32,15,13,10,2,4,30.18867924528302,14.150943396226415,12.264150943396226,9.433962264150944,1.8867924528301887,3.7735849056603774
107,Cyclotella ocellata,21,36,39,32,33.64485981308411,36.44859813084112,29.906542056074763,0.8037383177570093,33,15,13,10,2,4,30.8411214953271,14.018691588785046,12.149532710280374,9.345794392523365,1.8691588785046727,3.7383177570093453
108,Diploneis krammeri,22,36,39,33,33.33333333333333,36.11111111111111,30.555555555555557,0.7962962962962963,33,15,13,10,2,4,30.555555555555557,13.88888888888889,12.037037037037036,9.25925925925926,1.8518518518518516,3.7037037037037033
109,Staurosirella pinnata,22,36,40,33,33.02752293577982,36.69724770642202,30.275229357798167,0.7981651376146789,33,15,13,11,2,4,30.275229357798167,13.761467889908257,11.926605504587156,10.091743119266056,1.834862385321101,3.669724770642202
110,Staurosirella pinnata,22,36,41,33,32.72727272727273,37.27272727272727,30,0.8,33,15,13,12,2,4,30,13.636363636363635,11.818181818181818,10.909090909090908,1.8181818181818181,3.6363636363636362
111,Cyclotella minuscula,22,37,41,33,33.33333333333333,36.93693693693694,29.72972972972973,0.8018018018018018,33,15,13,12,2,4,29.72972972972973,13.513513513513514,11.711711711711711,10.81081081081081,1.8018018018018018,3.6036036036036037
112,Cyclotella minuscula,22,38,41,33,33.92857142857143,36.607142857142854,29.464285714285715,0.8035714285714286,33,15,13,12,2,4,29.464285714285715,13.392857142857142,11.607142857142858,10.714285714285714,1.7857142857142856,3.571428571428571
113,Staurosira venter,22,38,42,33,33.6283185840708,37.16814159292036,29.20353982300885,0.8053097345132744,33,15,14,12,2,4,29.20353982300885,13.274336283185843,12.389380530973451,10.619469026548673,1.7699115044247788,3.5398230088495577
114,Staurosira venter,22,38,43,33,33.33333333333333,37.719298245614034,28.947368421052634,0.8070175438596492,33,15,15,12,2,4,28.947368421052634,13.157894736842104,13.157894736842104,10.526315789473683,1.7543859649122806,3.508771929824561
115,Naviculoid spp.,22,38,43,34,33.04347826086956,37.391304347826086,29.565217391304348,0.808695652173913,33,15,15,12,2,4,28.695652173913043,13.043478260869565,13.043478260869565,10.434782608695652,1.7391304347826086,3.4782608695652173
116,Cyclotella ocellata,22,39,43,34,33.62068965517241,37.06896551724138,29.310344827586203,0.8103448275862069,34,15,15,12,2,4,29.310344827586203,12.931034482758621,12.931034482758621,10.344827586206897,1.7241379310344827,3.4482758620689653
117,Cyclotella ocellata,22,40,43,34,34.18803418803419,36.75213675213676,29.059829059829063,0.811965811965812,35,15,15,12,2,4,29.914529914529915,12.82051282051282,12.82051282051282,10.256410256410255,1.7094017094017095,3.418803418803419
118,Pseudostaurosira brevistriata,22,40,44,34,33.89830508474576,37.28813559322034,28.8135593220339,0.8135593220338984,35,16,15,12,2,4,29.66101694915254,13.559322033898304,12.711864406779661,10.16949152542373,1.694915254237288,3.389830508474576
119,Pseudostaurosira brevistriata,22,40,45,34,33.61344537815126,37.81512605042017,28.57142857142857,0.8151260504201681,35,17,15,12,2,4,29.411764705882355,14.285714285714285,12.605042016806722,10.084033613445378,1.680672268907563,3.361344537815126
120,Pseudostaurosira brevistriata,22,40,46,34,33.33333333333333,38.333333333333336,28.333333333333332,0.8166666666666667,35,18,15,12,2,4,29.166666666666668,15,12.5,10,1.6666666666666667,3.3333333333333335
121,Pseudostaurosira brevistriata,22,40,47,34,33.057851239669425,38.84297520661157,28.09917355371901,0.8181818181818181,35,19,15,12,2,4,28.92561983471074,15.702479338842975,12.396694214876034,9.917355371900827,1.6528925619834711,3.3057851239669422
122,Pseudostaurosira brevistriata,22,40,48,34,32.78688524590164,39.34426229508197,27.86885245901639,0.819672131147541,35,20,15,12,2,4,28.688524590163933,16.39344262295082,12.295081967213115,9.836065573770492,1.639344262295082,3.278688524590164
123,Pseudostaurosira brevistriata,22,40,49,34,32.52032520325203,39.83739837398374,27.64227642276423,0.8211382113821138,35,21,15,12,2,4,28.455284552845526,17.073170731707318,12.195121951219512,9.75609756097561,1.6260162601626018,3.2520325203252036
124,Pseudostaurosira brevistriata,22,40,50,34,32.25806451612903,40.32258064516129,27.419354838709676,0.8225806451612903,35,22,15,12,2,4,28.225806451612907,17.741935483870968,12.096774193548388,9.67741935483871,1.6129032258064515,3.225806451612903
125,Pseudostaurosira brevistriata,22,40,51,34,32,40.8,27.200000000000003,0.8240000000000001,35,23,15,12,2,4,28.000000000000004,18.4,12,9.6,1.6,3.2
126,Staurosira venter,22,40,52,34,31.746031746031743,41.269841269841265,26.984126984126984,0.8253968253968254,35,23,16,12,2,4,27.77777777777778,18.253968253968253,12.698412698412698,9.523809523809524,1.5873015873015872,3.1746031746031744
127,Staurosira venter,22,40,53,34,31.496062992125985,41.732283464566926,26.77165354330709,0.8267716535433071,35,23,17,12,2,4,27.559055118110237,18.11023622047244,13.385826771653544,9.448818897637794,1.574803149606299,3.149606299212598
128,Cyclotella ocellata,22,41,53,34,32.03125,41.40625,26.5625,0.828125,36,23,17,12,2,4,28.125,17.96875,13.28125,9.375,1.5625,3.125
129,Staurosira venter,22,41,54,34,31.782945736434108,41.86046511627907,26.356589147286826,0.8294573643410853,36,23,18,12,2,4,27.906976744186046,17.829457364341085,13.953488372093023,9.30232558139535,1.550387596899225,3.10077519379845
130,Staurosira venter,22,41,55,34,31.538461538461537,42.30769230769231,26.153846153846157,0.8307692307692307,36,23,19,12,2,4,27.692307692307693,17.692307692307693,14.615384615384617,9.230769230769232,1.5384615384615385,3.076923076923077
131,Staurosira venter,22,41,56,34,31.297709923664126,42.74809160305343,25.954198473282442,0.83206106870229,36,23,20,12,2,4,27.480916030534353,17.557251908396946,15.267175572519085,9.16030534351145,1.5267175572519083,3.0534351145038165
132,Sellaphora utermoehlii,23,41,56,35,31.060606060606062,42.42424242424242,26.515151515151516,0.8257575757575757,36,23,20,12,2,4,27.27272727272727,17.424242424242426,15.151515151515152,9.090909090909092,1.5151515151515151,3.0303030303030303
133,Cavinula scutelloides,23,41,56,36,30.82706766917293,42.10526315789473,27.06766917293233,0.8270676691729324,36,23,20,12,2,4,27.06766917293233,17.293233082706767,15.037593984962406,9.022556390977442,1.5037593984962405,3.007518796992481
134,Cyclotella ocellata,23,42,56,36,31.343283582089555,41.7910447761194,26.865671641791046,0.8283582089552239,37,23,20,12,2,4,27.611940298507463,17.16417910447761,14.925373134328357,8.955223880597014,1.4925373134328357,2.9850746268656714
