valve_no,taxon,no_of_species,no_of_p,no_of_fp,no_of_b,p_pc,fp_pc,b_pc,efficiency,no_of_p_oc,no_of_p_brev,no_of_s_con,no_of_s_pin,no_of_a_ped,no_of_s_rot,p_oc_pc,p_brev_pc,s_con_pc,s_pin_pc,a_ped_pc,s_rot_pc
75,Staurosirella pinnata,13,50,16.5,8.5,66.66666666666666,22,11.333333333333332,0.8266666666666667,47,7,4,7,1,1,62.66666666666667,9.333333333333334,5.333333333333334,9.333333333333334,1.3333333333333335,1.3333333333333335
76,Staurosira venter,13,50,17.5,8.5,65.78947368421053,23.026315789473685,11.18421052631579,0.8289473684210527,47,7,5,7,1,1,61.8421052631579,9.210526315789473,6.578947368421052,9.210526315789473,1.3157894736842104,1.3157894736842104
77,Staurosira venter,13,50,18.5,8.5,64.93506493506493,24.025974025974026,11.03896103896104,0.8311688311688312,47,7,6,7,1,1,61.038961038961034,9.090909090909092,7.792207792207792,9.090909090909092,1.2987012987012987,1.2987012987012987
78,Cavinula scutelloides,13,50,18.5,9.5,64.1025641025641,23.717948717948715,12.179487179487179,0.8333333333333334,47,7,6,7,1,1,60.256410256410255,8.974358974358974,7.6923076923076925,8.974358974358974,1.282051282051282,1.282051282051282
79,Navicula spp.,14,50,18.5,10.5,63.29113924050633,23.417721518987342,13.291139240506327,0.8227848101265822,47,7,6,7,1,1,59.49367088607595,8.860759493670885,7.59493670886076,8.860759493670885,1.2658227848101267,1.2658227848101267
80,Cyclotella ocellata,14,51,18.5,10.5,63.74999999999999,23.125,13.125,0.825,48,7,6,7,1,1,60,8.75,7.5,8.75,1.25,1.25
81,Cyclotella ocellata,14,52,18.5,10.5,64.19753086419753,22.839506172839506,12.962962962962962,0.8271604938271605,49,7,6,7,1,1,60.49382716049383,8.641975308641975,7.4074074074074066,8.641975308641975,1.2345679012345678,1.2345679012345678
82,Cyclotella ocellata,14,53,18.5,10.5,64.63414634146342,22.5609756097561,12.804878048780488,0.8292682926829268,50,7,6,7,1,1,60.97560975609756,8.536585365853659,7.317073170731707,8.536585365853659,1.2195121951219512,1.2195121951219512
82.5,Asterionella formosa,15,53.5,18.5,10.5,64.84848484848484,22.424242424242426,12.727272727272727,0.8181818181818181,50,7,6,7,1,1,60.60606060606061,8.484848484848486,7.2727272727272725,8.484848484848486,1.2121212121212122,1.2121212121212122
83.5,Stephanodiscus parvus,16,54.5,18.5,10.5,65.26946107784431,22.15568862275449,12.574850299401197,0.8083832335329342,50,7,6,7,1,1,59.88023952095808,8.383233532934131,7.18562874251497,8.383233532934131,1.1976047904191618,1.1976047904191618
84.5,Cyclotella ocellata,16,55.5,18.5,10.5,65.68047337278107,21.893491124260358,12.42603550295858,0.8106508875739645,51,7,6,7,1,1,60.35502958579882,8.284023668639055,7.100591715976331,8.284023668639055,1.183431952662722,1.183431952662722
85.5,Cyclotella ocellata,16,56.5,18.5,10.5,66.08187134502924,21.637426900584796,12.280701754385964,0.8128654970760234,52,7,6,7,1,1,60.81871345029239,8.187134502923977,7.017543859649122,8.187134502923977,1.1695906432748537,1.1695906432748537
86.5,Cyclotella ocellata,16,57.5,18.5,10.5,66.47398843930635,21.38728323699422,12.138728323699421,0.815028901734104,53,7,6,7,1,1,61.27167630057804,8.092485549132949,6.9364161849710975,8.092485549132949,1.1560693641618496,1.1560693641618496
87.5,Cyclotella ocellata,16,58.5,18.5,10.5,66.85714285714286,21.142857142857142,12,0.8171428571428572,54,7,6,7,1,1,61.71428571428571,8,6.857142857142858,8,1.1428571428571428,1.1428571428571428
88.5,Cyclotella ocellata,16,59.5,18.5,10.5,67.2316384180791,20.903954802259886,11.864406779661017,0.8192090395480226,55,7,6,7,1,1,62.14689265536724,7.909604519774012,6.779661016949152,7.909604519774012,1.1299435028248588,1.1299435028248588
89.5,Staurosirella pinnata,16,59.5,19.5,10.5,66.4804469273743,21.787709497206702,11.731843575418994,0.8212290502793296,55,7,6,8,1,1,61.452513966480446,7.82122905027933,6.70391061452514,8.938547486033519,1.1173184357541899,1.1173184357541899
90.5,Sellaphora submuralis,17,59.5,19.5,11.5,65.74585635359117,21.54696132596685,12.70718232044199,0.8121546961325967,55,7,6,8,1,1,60.773480662983424,7.734806629834254,6.629834254143646,8.83977900552486,1.1049723756906076,1.1049723756906076
91.5,Cyclotella minuscula,17,60.5,19.5,11.5,66.12021857923497,21.311475409836063,12.568306010928962,0.8142076502732241,55,7,6,8,1,1,60.10928961748634,7.650273224043716,6.557377049180328,8.743169398907105,1.092896174863388,1.092896174863388
92,Staurosira venter,17,60.5,20,11.5,65.76086956521739,21.73913043478261,12.5,0.8152173913043479,55,7,7,8,1,1,59.78260869565217,7.608695652173914,7.608695652173914,8.695652173913043,1.0869565217391304,1.0869565217391304
93,Cavinula scutelloides,17,60.5,20,12.5,65.05376344086021,21.50537634408602,13.440860215053762,0.8172043010752688,55,7,7,8,1,1,59.13978494623656,7.526881720430108,7.526881720430108,8.60215053763441,1.0752688172043012,1.0752688172043012
94,Fallacia lucinensis,18,60.5,20,13.5,64.36170212765957,21.27659574468085,14.361702127659576,0.8085106382978724,55,7,7,8,1,1,58.51063829787234,7.446808510638298,7.446808510638298,8.51063829787234,1.0638297872340425,1.0638297872340425
95,Fallacia lucinensis,18,60.5,20,14.5,63.68421052631579,21.052631578947366,15.263157894736842,0.8105263157894737,55,7,7,8,1,1,57.89473684210527,7.368421052631578,7.368421052631578,8.421052631578947,1.0526315789473684,1.0526315789473684
96,Placoneis balcanica,18,60.5,20,15.5,63.020833333333336,20.833333333333336,16.145833333333336,0.8125,55,7,7,8,1,1,57.291666666666664,7.291666666666667,7.291666666666667,8.333333333333332,1.0416666666666665,1.0416666666666665
97,Cyclotella ocellata,18,61.5,20,15.5,63.4020618556701,20.618556701030926,15.979381443298967,0.8144329896907216,56,7,7,8,1,1,57.73195876288659,7.216494845360824,7.216494845360824,8.24742268041237,1.0309278350515463,1.0309278350515463
98,Cyclotella ocellata,18,62.5,20,15.5,63.775510204081634,20.408163265306122,15.816326530612246,0.8163265306122449,57,7,7,8,1,1,58.16326530612245,7.142857142857142,7.142857142857142,8.16326530612245,1.0204081632653061,1.0204081632653061
99,Cyclotella ocellata,18,63.5,20,15.5,64.14141414141415,20.2020202020202,15.656565656565657,0.8181818181818181,58,7,7,8,1,1,58.58585858585859,7.07070707070707,7.07070707070707,8.080808080808081,1.0101010101010102,1.0101010101010102
100,Cyclotella ocellata,18,64.5,20,15.5,64.5,20,15.5,0.8200000000000001,59,7,7,8,1,1,59,7.000000000000001,7.000000000000001,8,1,1
101,Cyclotella ocellata,18,65.5,20,15.5,64.85148514851485,19.801980198019802,15.346534653465346,0.8217821782178218,60,7,7,8,1,1,59.4059405940594,6.9306930693069315,6.9306930693069315,7.920792079207921,0.9900990099009901,0.9900990099009901
102,Cyclotella ocellata,18,66.5,20,15.5,65.19607843137256,19.607843137254903,15.196078431372548,0.8235294117647058,61,7,7,8,1,1,59.80392156862745,6.862745098039216,6.862745098039216,7.8431372549019605,0.9803921568627451,0.9803921568627451
103,Cyclotella ocellata,18,67.5,20,15.5,65.53398058252428,19.41747572815534,15.048543689320388,0.8252427184466019,62,7,7,8,1,1,60.19417475728155,6.796116504854369,6.796116504854369,7.766990291262135,0.9708737864077669,0.9708737864077669
104,Cyclotella ocellata,18,68.5,20,15.5,65.86538461538461,19.230769230769234,14.903846153846153,0.8269230769230769,63,7,7,8,1,1,60.57692307692307,6.730769230769231,6.730769230769231,7.6923076923076925,0.9615384615384616,0.9615384615384616
105,Cyclotella ocellata,18,69.5,20,15.5,66.19047619047619,19.047619047619047,14.761904761904763,0.8285714285714285,64,7,7,8,1,1,60.952380952380956,6.666666666666667,6.666666666666667,7.6190476190476195,0.9523809523809524,0.9523809523809524
106,Cyclotella ocellata,18,70.5,20,15.5,66.50943396226415,18.867924528301888,14.622641509433961,0.8301886792452831,65,7,7,8,1,1,61.32075471698113,6.60377358490566,6.60377358490566,7.547169811320755,0.9433962264150944,0.9433962264150944
107,Cyclotella ocellata,18,71.5,20,15.5,66.82242990654206,18.69158878504673,14.485981308411214,0.8317757009345794,66,7,7,8,1,1,61.6822429906542,6.5420560747663545,6.5420560747663545,7.476635514018691,0.9345794392523363,0.9345794392523363
108,Cyclotella ocellata,18,72.5,20,15.5,67.12962962962963,18.51851851851852,14.351851851851851,0.8333333333333334,67,7,7,8,1,1,62.03703703703704,6.481481481481481,6.481481481481481,7.4074074074074066,0.9259259259259258,0.9259259259259258
109,Cyclotella ocellata,18,73.5,20,15.5,67.43119266055045,18.34862385321101,14.220183486238533,0.8348623853211009,68,7,7,8,1,1,62.38532110091744,6.422018348623854,6.422018348623854,7.339449541284404,0.9174311926605505,0.9174311926605505
110,Cyclotella ocellata,18,74.5,20,15.5,67.72727272727272,18.181818181818183,14.09090909090909,0.8363636363636364,69,7,7,8,1,1,62.727272727272734,6.363636363636363,6.363636363636363,7.2727272727272725,0.9090909090909091,0.9090909090909091
111,Cyclotella ocellata,18,75.5,20,15.5,68.01801801801803,18.01801801801802,13.963963963963963,0.8378378378378378,70,7,7,8,1,1,63.06306306306306,6.306306306306306,6.306306306306306,7.207207207207207,0.9009009009009009,0.9009009009009009
112,Cyclotella ocellata,18,76.5,20,15.5,68.30357142857143,17.857142857142858,13.839285714285715,0.8392857142857143,71,7,7,8,1,1,63.39285714285714,6.25,6.25,7.142857142857142,0.8928571428571428,0.8928571428571428
113,Staurosirella pinnata,18,76.5,21,15.5,67.69911504424779,18.58407079646018,13.716814159292035,0.8407079646017699,71,7,7,9,1,1,62.83185840707964,6.1946902654867255,6.1946902654867255,7.964601769911504,0.8849557522123894,0.8849557522123894
114,Stephanodiscus parvus,18,77.5,21,15.5,67.98245614035088,18.421052631578945,13.596491228070176,0.8421052631578947,71,7,7,9,1,1,62.28070175438597,6.140350877192982,6.140350877192982,7.894736842105263,0.8771929824561403,0.8771929824561403
115,Cyclotella ocellata,18,78.5,21,15.5,68.26086956521739,18.26086956521739,13.478260869565217,0.8434782608695652,72,7,7,9,1,1,62.60869565217392,6.086956521739131,6.086956521739131,7.82608695652174,0.8695652173913043,0.8695652173913043
116,Cyclotella ocellata,18,79.5,21,15.5,68.53448275862068,18.103448275862068,13.36206896551724,0.8448275862068966,73,7,7,9,1,1,62.93103448275862,6.0344827586206895,6.0344827586206895,7.758620689655173,0.8620689655172413,0.8620689655172413
117,Sellaphora bacilloides,19,79.5,21,16.5,67.94871794871796,17.94871794871795,14.102564102564102,0.8376068376068376,73,7,7,9,1,1,62.39316239316239,5.982905982905983,5.982905982905983,7.6923076923076925,0.8547008547008548,0.8547008547008548
118,Placoneis balcanica,19,79.5,21,17.5,67.37288135593221,17.796610169491526,14.83050847457627,0.8389830508474576,73,7,7,9,1,1,61.86440677966102,5.932203389830509,5.932203389830509,7.627118644067797,0.847457627118644,0.847457627118644
118.5,Asterionella formosa,19,80,21,17.5,67.51054852320675,17.72151898734177,14.767932489451477,0.8396624472573839,73,7,7,9,1,1,61.60337552742617,5.9071729957805905,5.9071729957805905,7.59493670886076,0.8438818565400843,0.8438818565400843
119.5,Cyclotella ocellata,19,81,21,17.5,67.78242677824268,17.573221757322173,14.644351464435147,0.8410041841004184,74,7,7,9,1,1,61.92468619246861,5.857740585774058,5.857740585774058,7.531380753138076,0.8368200836820083,0.8368200836820083
