valve_no,taxon,no_of_species,no_of_p,no_of_fp,no_of_b,p_pc,fp_pc,b_pc,efficiency,no_of_p_min,no_of_p_oc,no_of_s_con,no_of_s_pin,no_of_a_ped,no_of_e_mic,p_min_pc,p_oc_pc,s_con_pc,s_pin_pc,a_ped_pc,e_mic_pc
14,Gomphonema spp.,8,6,0,8,42.857142857142854,0,57.14285714285714,0.4285714285714286,4,2,0,0,0,0,28.57142857142857,14.285714285714285,0,0,0,0
15,Gomphonema spp.,8,6,0,9,40,0,60,0.4666666666666667,4,2,0,0,0,0,26.666666666666668,13.333333333333334,0,0,0,0
16,Cyclotella minuscula,8,7,0,9,43.75,0,56.25,0.5,5,2,0,0,0,0,31.25,12.5,0,0,0,0
17,Amphora copulata,9,7,0,10,41.17647058823529,0,58.82352941176471,0.47058823529411764,5,2,0,0,0,0,29.411764705882355,11.76470588235294,0,0,0,0
18,Amphora copulata,9,7,0,11,38.88888888888889,0,61.111111111111114,0.5,5,2,0,0,0,0,27.77777777777778,11.11111111111111,0,0,0,0
19,Aneumastus stroesei,10,7,0,12,36.84210526315789,0,63.1578947368421,0.4736842105263158,5,2,0,0,0,0,26.31578947368421,10.526315789473683,0,0,0,0
20,Cyclotella minuscula,10,8,0,12,40,0,60,0.5,6,2,0,0,0,0,30,10,0,0,0,0
21,Encyonema spp.,11,8,0,13,38.095238095238095,0,61.904761904761905,0.47619047619047616,6,2,0,0,0,0,28.57142857142857,9.523809523809524,0,0,0,0
22,Cyclotella ocellata,11,9,0,13,40.909090909090914,0,59.09090909090909,0.5,6,3,0,0,0,0,27.27272727272727,13.636363636363635,0,0,0,0
23,Naviculoid spp.,11,9,0,14,39.130434782608695,0,60.86956521739131,0.5217391304347826,6,3,0,0,0,0,26.08695652173913,13.043478260869565,0,0,0,0
24,Cyclotella ocellata,11,10,0,14,41.66666666666667,0,58.333333333333336,0.5416666666666667,6,4,0,0,0,0,25,16.666666666666664,0,0,0,0
25,Cyclotella ocellata,11,11,0,14,44,0,56.00000000000001,0.56,6,5,0,0,0,0,24,20,0,0,0,0
26,Cyclotella ocellata,11,12,0,14,46.15384615384615,0,53.84615384615385,0.5769230769230769,6,6,0,0,0,0,23.076923076923077,23.076923076923077,0,0,0,0
27,Cyclotella ocellata,11,13,0,14,48.148148148148145,0,51.85185185185185,0.5925925925925926,6,7,0,0,0,0,22.22222222222222,25.925925925925924,0,0,0,0
28,Cyclotella minuscula,11,14,0,14,50,0,50,0.6071428571428572,7,7,0,0,0,0,25,25,0,0,0,0
29,Cyclotella minuscula,11,15,0,14,51.724137931034484,0,48.275862068965516,0.6206896551724138,8,7,0,0,0,0,27.586206896551722,24.137931034482758,0,0,0,0
30,Cyclotella ocellata,11,16,0,14,53.333333333333336,0,46.666666666666664,0.6333333333333333,8,8,0,0,0,0,26.666666666666668,26.666666666666668,0,0,0,0
31,Naviculoid spp.,11,16,0,15,51.61290322580645,0,48.38709677419355,0.6451612903225806,8,8,0,0,0,0,25.806451612903224,25.806451612903224,0,0,0,0
32,Fallacia helensis,12,16,0,16,50,0,50,0.625,8,8,0,0,0,0,25,25,0,0,0,0
33,Cyclotella ocellata,12,17,0,16,51.515151515151516,0,48.484848484848484,0.6363636363636364,8,9,0,0,0,0,24.242424242424242,27.27272727272727,0,0,0,0
34,Cyclotella ocellata,12,18,0,16,52.94117647058824,0,47.05882352941176,0.6470588235294117,8,10,0,0,0,0,23.52941176470588,29.411764705882355,0,0,0,0
35,Cyclotella ocellata,12,19,0,16,54.285714285714285,0,45.714285714285715,0.6571428571428571,8,11,0,0,0,0,22.857142857142858,31.428571428571427,0,0,0,0
36,Cyclotella ocellata,12,20,0,16,55.55555555555556,0,44.44444444444444,0.6666666666666667,8,12,0,0,0,0,22.22222222222222,33.33333333333333,0,0,0,0
37,Cyclotella ocellata,12,21,0,16,56.75675675675676,0,43.24324324324324,0.6756756756756757,8,13,0,0,0,0,21.62162162162162,35.13513513513514,0,0,0,0
38,Cyclotella ocellata,12,22,0,16,57.89473684210527,0,42.10526315789473,0.6842105263157895,8,14,0,0,0,0,21.052631578947366,36.84210526315789,0,0,0,0
39,Cyclotella ocellata,12,23,0,16,58.97435897435898,0,41.02564102564102,0.6923076923076923,8,15,0,0,0,0,20.51282051282051,38.46153846153847,0,0,0,0
40,Naviculoid spp.,12,23,0,17,57.49999999999999,0,42.5,0.7,8,15,0,0,0,0,20,37.5,0,0,0,0
41,Cyclotella ocellata,12,24,0,17,58.536585365853654,0,41.46341463414634,0.7073170731707317,8,16,0,0,0,0,19.51219512195122,39.02439024390244,0,0,0,0
42,Cyclotella ocellata,12,25,0,17,59.523809523809526,0,40.476190476190474,0.7142857142857143,8,17,0,0,0,0,19.047619047619047,40.476190476190474,0,0,0,0
43,Cyclotella minuscula,12,26,0,17,60.46511627906976,0,39.53488372093023,0.7209302325581395,9,17,0,0,0,0,20.930232558139537,39.53488372093023,0,0,0,0
44,Cyclotella ocellata,12,27,0,17,61.36363636363637,0,38.63636363636363,0.7272727272727273,9,18,0,0,0,0,20.454545454545457,40.909090909090914,0,0,0,0
45,Achnanthidium minutissimum,13,27,0,18,60,0,40,0.7111111111111111,9,18,0,0,0,0,20,40,0,0,0,0
46,Cyclotella minuscula,13,28,0,18,60.86956521739131,0,39.130434782608695,0.7173913043478262,10,18,0,0,0,0,21.73913043478261,39.130434782608695,0,0,0,0
47,Gomphonema spp.,13,28,0,19,59.57446808510638,0,40.42553191489361,0.7234042553191489,10,18,0,0,0,0,21.27659574468085,38.297872340425535,0,0,0,0
48,Gomphonema spp.,13,28,0,20,58.333333333333336,0,41.66666666666667,0.7291666666666667,10,18,0,0,0,0,20.833333333333336,37.5,0,0,0,0
49,Cyclotella ocellata,13,29,0,20,59.183673469387756,0,40.816326530612244,0.7346938775510203,10,19,0,0,0,0,20.408163265306122,38.775510204081634,0,0,0,0
50,Cyclotella ocellata,13,30,0,20,60,0,40,0.74,10,20,0,0,0,0,20,40,0,0,0,0
51,Encyonema spp.,13,30,0,21,58.82352941176471,0,41.17647058823529,0.7450980392156863,10,20,0,0,0,0,19.607843137254903,39.21568627450981,0,0,0,0
52,Encyonema spp.,13,30,0,22,57.692307692307686,0,42.30769230769231,0.75,10,20,0,0,0,0,19.230769230769234,38.46153846153847,0,0,0,0
53,Naviculoid spp.,13,30,0,23,56.60377358490566,0,43.39622641509434,0.7547169811320755,10,20,0,0,0,0,18.867924528301888,37.735849056603776,0,0,0,0
54,Epithemia sorex,14,30,0,24,55.55555555555556,0,44.44444444444444,0.7407407407407407,10,20,0,0,0,0,18.51851851851852,37.03703703703704,0,0,0,0
55,Cocconeis placentula,15,30,0,25,54.54545454545454,0,45.45454545454545,0.7272727272727273,10,20,0,0,0,0,18.181818181818183,36.36363636363637,0,0,0,0
56,Cocconeis placentula,15,30,0,26,53.57142857142857,0,46.42857142857143,0.7321428571428572,10,20,0,0,0,0,17.857142857142858,35.714285714285715,0,0,0,0
57,Diploneis elliptica,16,30,0,27,52.63157894736842,0,47.368421052631575,0.7192982456140351,10,20,0,0,0,0,17.543859649122805,35.08771929824561,0,0,0,0
58,Gyrosigma scientose,17,30,0,28,51.724137931034484,0,48.275862068965516,0.7068965517241379,10,20,0,0,0,0,17.24137931034483,34.48275862068966,0,0,0,0
59,Cymatopleura solea,18,30,0,29,50.847457627118644,0,49.152542372881356,0.6949152542372881,10,20,0,0,0,0,16.94915254237288,33.89830508474576,0,0,0,0
60,Cyclotella ocellata,18,31,0,29,51.66666666666667,0,48.333333333333336,0.7,10,21,0,0,0,0,16.666666666666664,35,0,0,0,0
61,Cyclotella ocellata,18,32,0,29,52.459016393442624,0,47.540983606557376,0.7049180327868853,10,22,0,0,0,0,16.39344262295082,36.0655737704918,0,0,0,0
62,Cyclotella ocellata,18,33,0,29,53.2258064516129,0,46.774193548387096,0.7096774193548387,10,23,0,0,0,0,16.129032258064516,37.096774193548384,0,0,0,0
63,Cyclotella ocellata,18,34,0,29,53.96825396825397,0,46.03174603174603,0.7142857142857143,10,24,0,0,0,0,15.873015873015872,38.095238095238095,0,0,0,0
64,Cyclotella ocellata,18,35,0,29,54.6875,0,45.3125,0.71875,10,25,0,0,0,0,15.625,39.0625,0,0,0,0
65,Cyclotella ocellata,18,36,0,29,55.38461538461539,0,44.61538461538462,0.7230769230769231,10,26,0,0,0,0,15.384615384615385,40,0,0,0,0
66,Cyclotella ocellata,18,37,0,29,56.060606060606055,0,43.93939393939394,0.7272727272727273,10,27,0,0,0,0,15.151515151515152,40.909090909090914,0,0,0,0
67,Cyclotella ocellata,18,38,0,29,56.71641791044776,0,43.28358208955223,0.7313432835820896,10,28,0,0,0,0,14.925373134328357,41.7910447761194,0,0,0,0
68,Cyclotella ocellata,18,39,0,29,57.35294117647059,0,42.64705882352941,0.7352941176470589,10,29,0,0,0,0,14.705882352941178,42.64705882352941,0,0,0,0
69,Staurosira venter,19,39,1,29,56.52173913043478,1.4492753623188406,42.028985507246375,0.7246376811594203,10,29,1,0,0,0,14.492753623188406,42.028985507246375,1.4492753623188406,0,0,0
70,Staurosira venter,19,39,2,29,55.714285714285715,2.857142857142857,41.42857142857143,0.7285714285714286,10,29,2,0,0,0,14.285714285714285,41.42857142857143,2.857142857142857,0,0,0
71,Staurosira venter,19,39,3,29,54.929577464788736,4.225352112676056,40.845070422535215,0.7323943661971831,10,29,3,0,0,0,14.084507042253522,40.845070422535215,4.225352112676056,0,0,0
72,Staurosira venter,19,39,4,29,54.166666666666664,5.555555555555555,40.27777777777778,0.7361111111111112,10,29,4,0,0,0,13.88888888888889,40.27777777777778,5.555555555555555,0,0,0
73,Cyclotella ocellata,19,40,4,29,54.794520547945204,5.47945205479452,39.726027397260275,0.7397260273972603,10,30,4,0,0,0,13.698630136986301,41.0958904109589,5.47945205479452,0,0,0
74,Gomphonema spp.,19,40,4,30,54.054054054054056,5.405405405405405,40.54054054054054,0.7432432432432432,10,30,4,0,0,0,13.513513513513514,40.54054054054054,5.405405405405405,0,0,0
75,Gomphonema spp.,19,40,4,31,53.333333333333336,5.333333333333334,41.333333333333336,0.7466666666666666,10,30,4,0,0,0,13.333333333333334,40,5.333333333333334,0,0,0
76,Cyclotella ocellata,19,41,4,31,53.94736842105263,5.263157894736842,40.78947368421053,0.75,10,31,4,0,0,0,13.157894736842104,40.78947368421053,5.263157894736842,0,0,0
77,Epithemia sorex,19,41,4,32,53.246753246753244,5.194805194805195,41.55844155844156,0.7532467532467533,10,31,4,0,0,0,12.987012987012985,40.25974025974026,5.194805194805195,0,0,0
78,Cyclotella ocellata,19,42,4,32,53.84615384615385,5.128205128205128,41.02564102564102,0.7564102564102564,10,32,4,0,0,0,12.82051282051282,41.02564102564102,5.128205128205128,0,0,0
79,Cyclotella ocellata,19,43,4,32,54.43037974683544,5.063291139240507,40.50632911392405,0.759493670886076,10,33,4,0,0,0,12.658227848101266,41.77215189873418,5.063291139240507,0,0,0
80,Cyclotella ocellata,19,44,4,32,55.00000000000001,5,40,0.7625,10,34,4,0,0,0,12.5,42.5,5,0,0,0
81,Cyclotella ocellata,19,45,4,32,55.55555555555556,4.938271604938271,39.50617283950617,0.7654320987654322,10,35,4,0,0,0,12.345679012345679,43.20987654320987,4.938271604938271,0,0,0
82,Cyclotella ocellata,19,46,4,32,56.09756097560976,4.878048780487805,39.02439024390244,0.7682926829268293,10,36,4,0,0,0,12.195121951219512,43.90243902439025,4.878048780487805,0,0,0
83,Cyclotella ocellata,19,47,4,32,56.62650602409639,4.819277108433735,38.55421686746988,0.7710843373493976,10,37,4,0,0,0,12.048192771084338,44.57831325301205,4.819277108433735,0,0,0
84,Cyclotella ocellata,19,48,4,32,57.14285714285714,4.761904761904762,38.095238095238095,0.7738095238095238,10,38,4,0,0,0,11.904761904761903,45.23809523809524,4.761904761904762,0,0,0
85,Cyclotella ocellata,19,49,4,32,57.647058823529406,4.705882352941177,37.64705882352941,0.7764705882352941,10,39,4,0,0,0,11.76470588235294,45.88235294117647,4.705882352941177,0,0,0
86,Epithemia sorex,19,49,4,33,56.97674418604651,4.651162790697675,38.372093023255815,0.7790697674418605,10,39,4,0,0,0,11.627906976744185,45.348837209302324,4.651162790697675,0,0,0
87,Epithemia sorex,19,49,4,34,56.32183908045977,4.597701149425287,39.08045977011494,0.7816091954022988,10,39,4,0,0,0,11.494252873563218,44.827586206896555,4.597701149425287,0,0,0
88,Epithemia sorex,19,49,4,35,55.68181818181818,4.545454545454546,39.77272727272727,0.7840909090909091,10,39,4,0,0,0,11.363636363636363,44.31818181818182,4.545454545454546,0,0,0
89,Cyclotella ocellata,19,50,4,35,56.17977528089888,4.49438202247191,39.325842696629216,0.7865168539325843,10,40,4,0,0,0,11.235955056179774,44.9438202247191,4.49438202247191,0,0,0
90,Cyclotella ocellata,19,51,4,35,56.666666666666664,4.444444444444445,38.88888888888889,0.7888888888888889,10,41,4,0,0,0,11.11111111111111,45.55555555555556,4.444444444444445,0,0,0
91,Cyclotella ocellata,19,52,4,35,57.14285714285714,4.395604395604396,38.46153846153847,0.7912087912087912,10,42,4,0,0,0,10.989010989010989,46.15384615384615,4.395604395604396,0,0,0
92,Cyclotella ocellata,19,53,4,35,57.608695652173914,4.3478260869565215,38.04347826086957,0.7934782608695652,10,43,4,0,0,0,10.869565217391305,46.73913043478261,4.3478260869565215,0,0,0
93,Cyclotella ocellata,19,54,4,35,58.06451612903226,4.301075268817205,37.634408602150536,0.7956989247311828,10,44,4,0,0,0,10.75268817204301,47.31182795698925,4.301075268817205,0,0,0
94,Cyclotella ocellata,19,55,4,35,58.51063829787234,4.25531914893617,37.234042553191486,0.7978723404255319,10,45,4,0,0,0,10.638297872340425,47.87234042553192,4.25531914893617,0,0,0
95,Cyclotella ocellata,19,56,4,35,58.94736842105262,4.2105263157894735,36.84210526315789,0.8,10,46,4,0,0,0,10.526315789473683,48.421052631578945,4.2105263157894735,0,0,0
96,Cyclotella ocellata,19,57,4,35,59.375,4.166666666666666,36.45833333333333,0.8020833333333334,10,47,4,0,0,0,10.416666666666668,48.95833333333333,4.166666666666666,0,0,0
97,Cyclotella ocellata,19,58,4,35,59.79381443298969,4.123711340206185,36.08247422680412,0.8041237113402062,10,48,4,0,0,0,10.309278350515463,49.48453608247423,4.123711340206185,0,0,0
98,Cyclotella ocellata,19,59,4,35,60.204081632653065,4.081632653061225,35.714285714285715,0.8061224489795918,10,49,4,0,0,0,10.204081632653061,50,4.081632653061225,0,0,0
99,Amphora pediculus,20,59,4,36,59.59595959595959,4.040404040404041,36.36363636363637,0.797979797979798,10,49,4,0,1,0,10.1010101010101,49.494949494949495,4.040404040404041,0,1.0101010101010102,0
100,Amphora pediculus,20,59,4,37,59,4,37,0.8,10,49,4,0,2,0,10,49,4,0,2,0
101,Cyclotella ocellata,20,60,4,37,59.4059405940594,3.9603960396039604,36.633663366336634,0.801980198019802,10,50,4,0,2,0,9.900990099009901,49.504950495049506,3.9603960396039604,0,1.9801980198019802,0
102,Cyclotella ocellata,20,61,4,37,59.80392156862745,3.9215686274509802,36.27450980392157,0.803921568627451,10,51,4,0,2,0,9.803921568627452,50,3.9215686274509802,0,1.9607843137254901,0
103,Cyclotella ocellata,20,62,4,37,60.19417475728155,3.8834951456310676,35.92233009708738,0.8058252427184466,10,52,4,0,2,0,9.70873786407767,50.48543689320388,3.8834951456310676,0,1.9417475728155338,0
104,Cocconeis placentula,20,62,4,38,59.61538461538461,3.8461538461538463,36.53846153846153,0.8076923076923077,10,52,4,0,2,0,9.615384615384617,50,3.8461538461538463,0,1.9230769230769231,0
105,Epithemia spp.,21,62,4,39,59.04761904761905,3.8095238095238098,37.142857142857146,0.8,10,52,4,0,2,0,9.523809523809524,49.523809523809526,3.8095238095238098,0,1.9047619047619049,0
106,Gomphonema spp.,21,62,4,40,58.490566037735846,3.7735849056603774,37.735849056603776,0.8018867924528301,10,52,4,0,2,0,9.433962264150944,49.056603773584904,3.7735849056603774,0,1.8867924528301887,0
107,Cyclotella ocellata,21,63,4,40,58.87850467289719,3.7383177570093453,37.38317757009346,0.8037383177570093,10,53,4,0,2,0,9.345794392523365,49.532710280373834,3.7383177570093453,0,1.8691588785046727,0
108,Cyclotella ocellata,21,64,4,40,59.25925925925925,3.7037037037037033,37.03703703703704,0.8055555555555556,10,54,4,0,2,0,9.25925925925926,50,3.7037037037037033,0,1.8518518518518516,0
109,Cyclotella ocellata,21,65,4,40,59.63302752293578,3.669724770642202,36.69724770642202,0.8073394495412844,10,55,4,0,2,0,9.174311926605505,50.45871559633027,3.669724770642202,0,1.834862385321101,0
110,Cyclotella ocellata,21,66,4,40,60,3.6363636363636362,36.36363636363637,0.8090909090909091,10,56,4,0,2,0,9.090909090909092,50.90909090909091,3.6363636363636362,0,1.8181818181818181,0
111,Fallacia subhamulata,22,66,4,41,59.45945945945946,3.6036036036036037,36.93693693693694,0.8018018018018018,10,56,4,0,2,0,9.00900900900901,50.45045045045045,3.6036036036036037,0,1.8018018018018018,0
112,Fallacia subhamulata,22,66,4,42,58.92857142857143,3.571428571428571,37.5,0.8035714285714286,10,56,4,0,2,0,8.928571428571429,50,3.571428571428571,0,1.7857142857142856,0
113,Gomphonema spp.,22,66,4,43,58.4070796460177,3.5398230088495577,38.05309734513274,0.8053097345132744,10,56,4,0,2,0,8.849557522123893,49.557522123893804,3.5398230088495577,0,1.7699115044247788,0
114,Gomphonema spp.,22,66,4,44,57.89473684210527,3.508771929824561,38.59649122807017,0.8070175438596492,10,56,4,0,2,0,8.771929824561402,49.122807017543856,3.508771929824561,0,1.7543859649122806,0
115,Cyclotella ocellata,22,67,4,44,58.26086956521739,3.4782608695652173,38.26086956521739,0.808695652173913,10,57,4,0,2,0,8.695652173913043,49.56521739130435,3.4782608695652173,0,1.7391304347826086,0
116,Cyclotella ocellata,22,68,4,44,58.620689655172406,3.4482758620689653,37.93103448275862,0.8103448275862069,10,58,4,0,2,0,8.620689655172415,50,3.4482758620689653,0,1.7241379310344827,0
117,Cyclotella ocellata,22,69,4,44,58.97435897435898,3.418803418803419,37.60683760683761,0.811965811965812,10,59,4,0,2,0,8.547008547008547,50.427350427350426,3.418803418803419,0,1.7094017094017095,0
118,Cyclotella ocellata,22,70,4,44,59.32203389830508,3.389830508474576,37.28813559322034,0.8135593220338984,10,60,4,0,2,0,8.47457627118644,50.847457627118644,3.389830508474576,0,1.694915254237288,0
119,Cyclotella ocellata,22,71,4,44,59.66386554621849,3.361344537815126,36.97478991596639,0.8151260504201681,10,61,4,0,2,0,8.403361344537815,51.26050420168067,3.361344537815126,0,1.680672268907563,0
120,Cyclotella ocellata,22,72,4,44,60,3.3333333333333335,36.666666666666664,0.8166666666666667,10,62,4,0,2,0,8.333333333333332,51.66666666666667,3.3333333333333335,0,1.6666666666666667,0
121,Cyclotella ocellata,22,73,4,44,60.33057851239669,3.3057851239669422,36.36363636363637,0.8181818181818181,10,63,4,0,2,0,8.264462809917356,52.066115702479344,3.3057851239669422,0,1.6528925619834711,0
122,Fallacia lucinensis,23,73,4,45,59.83606557377049,3.278688524590164,36.885245901639344,0.8114754098360656,10,63,4,0,2,0,8.19672131147541,51.63934426229508,3.278688524590164,0,1.639344262295082,0
123,Fallacia lucinensis,23,73,4,46,59.34959349593496,3.2520325203252036,37.39837398373984,0.8130081300813008,10,63,4,0,2,0,8.130081300813007,51.21951219512195,3.2520325203252036,0,1.6260162601626018,0
124,Amphora pediculus,23,73,4,47,58.87096774193549,3.225806451612903,37.903225806451616,0.814516129032258,10,63,4,0,3,0,8.064516129032258,50.806451612903224,3.225806451612903,0,2.4193548387096775,0
125,Cyclotella ocellata,23,74,4,47,59.199999999999996,3.2,37.6,0.8160000000000001,10,64,4,0,3,0,8,51.2,3.2,0,2.4,0
126,Cyclotella ocellata,23,75,4,47,59.523809523809526,3.1746031746031744,37.301587301587304,0.8174603174603174,10,65,4,0,3,0,7.936507936507936,51.587301587301596,3.1746031746031744,0,2.380952380952381,0
127,Cyclotella ocellata,23,76,4,47,59.84251968503938,3.149606299212598,37.00787401574803,0.8188976377952756,10,66,4,0,3,0,7.874015748031496,51.96850393700787,3.149606299212598,0,2.3622047244094486,0
128,Fallacia subhamulata,23,76,4,48,59.375,3.125,37.5,0.8203125,10,66,4,0,3,0,7.8125,51.5625,3.125,0,2.34375,0
129,Encyonopsis microcephala,24,76,4,49,58.91472868217055,3.10077519379845,37.98449612403101,0.813953488372093,10,66,4,0,3,1,7.751937984496124,51.162790697674424,3.10077519379845,0,2.3255813953488373,0.7751937984496124
130,Fallacia helensis,24,76,4,50,58.46153846153847,3.076923076923077,38.46153846153847,0.8153846153846154,10,66,4,0,3,1,7.6923076923076925,50.76923076923077,3.076923076923077,0,2.307692307692308,0.7692307692307693
131,Fallacia helensis,24,76,4,51,58.01526717557252,3.0534351145038165,38.93129770992366,0.816793893129771,10,66,4,0,3,1,7.633587786259542,50.38167938931297,3.0534351145038165,0,2.2900763358778624,0.7633587786259541
132,Naviculoid spp.,24,76,4,52,57.57575757575758,3.0303030303030303,39.39393939393939,0.8181818181818181,10,66,4,0,3,1,7.575757575757576,50,3.0303030303030303,0,2.272727272727273,0.7575757575757576
133,Cyclotella ocellata,24,77,4,52,57.89473684210527,3.007518796992481,39.097744360902254,0.8195488721804511,10,67,4,0,3,1,7.518796992481203,50.37593984962406,3.007518796992481,0,2.2556390977443606,0.7518796992481203
134,Cyclotella ocellata,24,78,4,52,58.2089552238806,2.9850746268656714,38.80597014925373,0.8208955223880597,10,68,4,0,3,1,7.462686567164178,50.74626865671642,2.9850746268656714,0,2.2388059701492535,0.7462686567164178
135,Cyclotella ocellata,24,79,4,52,58.51851851851851,2.9629629629629632,38.51851851851852,0.8222222222222222,10,69,4,0,3,1,7.4074074074074066,51.11111111111111,2.9629629629629632,0,2.2222222222222223,0.7407407407407408
136,Cyclotella ocellata,24,80,4,52,58.82352941176471,2.941176470588235,38.23529411764706,0.8235294117647058,10,70,4,0,3,1,7.352941176470589,51.470588235294116,2.941176470588235,0,2.2058823529411766,0.7352941176470588
137,Cyclotella minuscula,24,81,4,52,59.12408759124088,2.9197080291970803,37.95620437956204,0.8248175182481752,11,70,4,0,3,1,8.02919708029197,51.09489051094891,2.9197080291970803,0,2.18978102189781,0.7299270072992701
138,Cyclotella minuscula,24,82,4,52,59.42028985507246,2.898550724637681,37.68115942028986,0.8260869565217391,12,70,4,0,3,1,8.695652173913043,50.72463768115942,2.898550724637681,0,2.1739130434782608,0.7246376811594203
139,Achnanthidium minutissimum,24,82,4,53,58.992805755395686,2.877697841726619,38.1294964028777,0.8273381294964028,12,70,4,0,3,1,8.633093525179856,50.35971223021583,2.877697841726619,0,2.158273381294964,0.7194244604316548
140,Cocconeis placentula,24,82,4,54,58.57142857142858,2.857142857142857,38.57142857142858,0.8285714285714285,12,70,4,0,3,1,8.571428571428571,50,2.857142857142857,0,2.142857142857143,0.7142857142857143
141,Cocconeis placentula,24,82,4,55,58.156028368794324,2.8368794326241136,39.00709219858156,0.8297872340425532,12,70,4,0,3,1,8.51063829787234,49.645390070921984,2.8368794326241136,0,2.127659574468085,0.7092198581560284
142,Cyclotella minuscula,24,83,4,55,58.45070422535211,2.8169014084507045,38.732394366197184,0.8309859154929577,13,70,4,0,3,1,9.15492957746479,49.29577464788733,2.8169014084507045,0,2.112676056338028,0.7042253521126761
143,Gomphonema spp.,24,83,4,56,58.04195804195804,2.797202797202797,39.16083916083916,0.8321678321678322,13,70,4,0,3,1,9.090909090909092,48.95104895104895,2.797202797202797,0,2.097902097902098,0.6993006993006993
144,Gomphonema spp.,24,83,4,57,57.638888888888886,2.7777777777777777,39.58333333333333,0.8333333333333334,13,70,4,0,3,1,9.027777777777777,48.61111111111111,2.7777777777777777,0,2.083333333333333,0.6944444444444444
145,Cyclotella ocellata,24,84,4,57,57.931034482758626,2.7586206896551726,39.310344827586206,0.8344827586206897,13,71,4,0,3,1,8.96551724137931,48.96551724137931,2.7586206896551726,0,2.0689655172413794,0.6896551724137931
146,Cyclotella minuscula,24,85,4,57,58.21917808219178,2.73972602739726,39.04109589041096,0.8356164383561644,14,71,4,0,3,1,9.58904109589041,48.63013698630137,2.73972602739726,0,2.054794520547945,0.684931506849315
147,Cyclotella ocellata,24,86,4,57,58.50340136054422,2.7210884353741496,38.775510204081634,0.8367346938775511,14,72,4,0,3,1,9.523809523809524,48.97959183673469,2.7210884353741496,0,2.0408163265306123,0.6802721088435374
148,Cyclotella minuscula,24,87,4,57,58.78378378378378,2.7027027027027026,38.513513513513516,0.8378378378378378,15,72,4,0,3,1,10.135135135135135,48.64864864864865,2.7027027027027026,0,2.027027027027027,0.6756756756756757
149,Gomphonema pseudotenellum,25,87,4,58,58.38926174496645,2.684563758389262,38.92617449664429,0.8322147651006712,15,72,4,0,3,1,10.06711409395973,48.322147651006716,2.684563758389262,0,2.013422818791946,0.6711409395973155
150,Cyclotella ocellata,25,88,4,58,58.666666666666664,2.666666666666667,38.666666666666664,0.8333333333333334,15,73,4,0,3,1,10,48.66666666666667,2.666666666666667,0,2,0.6666666666666667
151,Cyclotella ocellata,25,89,4,58,58.94039735099338,2.6490066225165565,38.41059602649007,0.8344370860927153,15,74,4,0,3,1,9.933774834437086,49.00662251655629,2.6490066225165565,0,1.9867549668874174,0.6622516556291391
152,Cyclotella ocellata,25,90,4,58,59.210526315789465,2.631578947368421,38.15789473684211,0.8355263157894737,15,75,4,0,3,1,9.868421052631579,49.34210526315789,2.631578947368421,0,1.9736842105263157,0.6578947368421052
